Lookback,Horizon,Reference,Compared_Model,DM_stat,p_value,Significant_5pct,Significant_1pct
10,1,FULL,w/o_Copper,-3.277944720384789,0.0010986359828142334,True,True
10,1,FULL,w/o_Copper_Lead,2.5391919107106347,0.011331584933698124,True,False
10,1,FULL,w/o_Copper_Lead_Nickel,4.043772745397563,5.859221837845041e-05,True,True
10,1,FULL,w/o_Copper_Lead_Nickel_Tin,0.1421687326042846,0.8869886547238475,False,False
10,1,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,5.925712607949335,4.931481001335669e-09,True,True
10,1,FULL,w/o_Copper_Lead_Nickel_Zinc,-4.2335490314662625,2.6151268717855558e-05,True,True
10,1,FULL,w/o_Copper_Lead_Tin,4.923898684627917,1.0649447699240255e-06,True,True
10,1,FULL,w/o_Copper_Lead_Tin_Zinc,6.119969090332348,1.577154407073067e-09,True,True
10,1,FULL,w/o_Copper_Lead_Zinc,0.06929418860193506,0.9447757335933071,False,False
10,1,FULL,w/o_Copper_Nickel,-4.933374820757243,1.0162288686110799e-06,True,True
10,1,FULL,w/o_Copper_Nickel_Tin,-2.909949939031217,0.0037324591482341685,True,True
10,1,FULL,w/o_Copper_Nickel_Tin_Zinc,-8.108859963336982,2.4424906541753444e-15,True,True
10,1,FULL,w/o_Copper_Nickel_Zinc,-8.643700110619035,0.0,True,True
10,1,FULL,w/o_Copper_Tin,6.98039152302901,6.983746914102085e-12,True,True
10,1,FULL,w/o_Copper_Tin_Zinc,0.16262933256968745,0.8708583932680853,False,False
10,1,FULL,w/o_Copper_Zinc,3.067000773388574,0.002247593446549123,True,True
10,1,FULL,w/o_Lead,-2.089832384783193,0.03700219002113814,True,False
10,1,FULL,w/o_Lead_Nickel,5.049673146351146,5.684283705953419e-07,True,True
10,1,FULL,w/o_Lead_Nickel_Tin,-4.055676133252559,5.575332894069973e-05,True,True
10,1,FULL,w/o_Lead_Nickel_Tin_Zinc,-7.0320570095446975,4.949374243778948e-12,True,True
10,1,FULL,w/o_Lead_Nickel_Zinc,2.11270939903883,0.03498790789518047,True,False
10,1,FULL,w/o_Lead_Tin,-3.064317900672051,0.002267569990739071,True,True
10,1,FULL,w/o_Lead_Tin_Zinc,5.501683566108033,5.323108376309449e-08,True,True
10,1,FULL,w/o_Lead_Zinc,0.08182896238410804,0.9348066981083303,False,False
10,1,FULL,w/o_Nickel,-3.969274184141369,7.972545555601229e-05,True,True
10,1,FULL,w/o_Nickel_Tin,-2.85100989481746,0.004489586118739952,True,True
10,1,FULL,w/o_Nickel_Tin_Zinc,3.7369844570699393,0.00020181587000589474,True,True
10,1,FULL,w/o_Nickel_Zinc,-2.7248057304960733,0.006598608001740169,True,True
10,1,FULL,w/o_Tin,-2.5782148070936706,0.010139532799706918,True,False
10,1,FULL,w/o_Tin_Zinc,0.6216421424658711,0.5343846355009434,False,False
10,1,FULL,w/o_Zinc,-2.336915834101738,0.019731667405179065,True,False
10,5,FULL,w/o_Copper,-7.578527117209845,4.463096558993129e-14,True,True
10,5,FULL,w/o_Copper_Lead,-7.606775581947619,3.6193270602780103e-14,True,True
10,5,FULL,w/o_Copper_Lead_Nickel,-4.900560212050079,1.0001104313595022e-06,True,True
10,5,FULL,w/o_Copper_Lead_Nickel_Tin,-9.03625006616542,0.0,True,True
10,5,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,-4.760116075074251,2.0151569728454888e-06,True,True
10,5,FULL,w/o_Copper_Lead_Nickel_Zinc,-7.021892635909651,2.6294522115222208e-12,True,True
10,5,FULL,w/o_Copper_Lead_Tin,-6.273863258678297,3.9641157023595497e-10,True,True
10,5,FULL,w/o_Copper_Lead_Tin_Zinc,-13.395790780498638,0.0,True,True
10,5,FULL,w/o_Copper_Lead_Zinc,-4.310714271985085,1.673249999534221e-05,True,True
10,5,FULL,w/o_Copper_Nickel,-6.033715985864226,1.77369274823036e-09,True,True
10,5,FULL,w/o_Copper_Nickel_Tin,-7.627935020000538,3.086420008457935e-14,True,True
10,5,FULL,w/o_Copper_Nickel_Tin_Zinc,-7.566748318149776,4.884981308350689e-14,True,True
10,5,FULL,w/o_Copper_Nickel_Zinc,-9.778801448264844,0.0,True,True
10,5,FULL,w/o_Copper_Tin,-10.700402080817156,0.0,True,True
10,5,FULL,w/o_Copper_Tin_Zinc,-10.305969522360758,0.0,True,True
10,5,FULL,w/o_Copper_Zinc,-7.697427268909303,1.7985612998927536e-14,True,True
10,5,FULL,w/o_Lead,-9.2580542318639,0.0,True,True
10,5,FULL,w/o_Lead_Nickel,-9.68759543495006,0.0,True,True
10,5,FULL,w/o_Lead_Nickel_Tin,-10.188915463281463,0.0,True,True
10,5,FULL,w/o_Lead_Nickel_Tin_Zinc,-1.7298740144001552,0.08374316568532869,False,False
10,5,FULL,w/o_Lead_Nickel_Zinc,-2.8305903287982286,0.004673390079898532,True,True
10,5,FULL,w/o_Lead_Tin,-9.693551102937889,0.0,True,True
10,5,FULL,w/o_Lead_Tin_Zinc,-7.807613206544744,7.771561172376096e-15,True,True
10,5,FULL,w/o_Lead_Zinc,-6.882851466528349,6.95132840178303e-12,True,True
10,5,FULL,w/o_Nickel,-8.03413423001385,1.3322676295501878e-15,True,True
10,5,FULL,w/o_Nickel_Tin,-8.197443127738723,2.220446049250313e-16,True,True
10,5,FULL,w/o_Nickel_Tin_Zinc,-10.704378898913545,0.0,True,True
10,5,FULL,w/o_Nickel_Zinc,0.12880435635380164,0.8975200454531098,False,False
10,5,FULL,w/o_Tin,-7.540203118363181,5.972999872483342e-14,True,True
10,5,FULL,w/o_Tin_Zinc,-11.558087374267853,0.0,True,True
10,5,FULL,w/o_Zinc,-8.20597798704069,4.440892098500626e-16,True,True
10,10,FULL,w/o_Copper,4.984814963306602,6.355135453439686e-07,True,True
10,10,FULL,w/o_Copper_Lead,-0.7740936429978065,0.43890225318843634,False,False
10,10,FULL,w/o_Copper_Lead_Nickel,6.182226902319396,6.685199060996183e-10,True,True
10,10,FULL,w/o_Copper_Lead_Nickel_Tin,4.314629165412186,1.62128246954385e-05,True,True
10,10,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,-5.134302847625327,2.9103304832744925e-07,True,True
10,10,FULL,w/o_Copper_Lead_Nickel_Zinc,1.0413227400606258,0.29776270399853555,False,False
10,10,FULL,w/o_Copper_Lead_Tin,-3.779603285269186,0.00015841842319175292,True,True
10,10,FULL,w/o_Copper_Lead_Tin_Zinc,-12.538660043099105,0.0,True,True
10,10,FULL,w/o_Copper_Lead_Zinc,-0.17958474727379425,0.8574839157485488,False,False
10,10,FULL,w/o_Copper_Nickel,6.2735009822071,3.746298826712291e-10,True,True
10,10,FULL,w/o_Copper_Nickel_Tin,4.409558207453597,1.051716330380259e-05,True,True
10,10,FULL,w/o_Copper_Nickel_Tin_Zinc,-13.262474142920476,0.0,True,True
10,10,FULL,w/o_Copper_Nickel_Zinc,7.093152356079065,1.4430678874077785e-12,True,True
10,10,FULL,w/o_Copper_Tin,5.00349561193539,5.770940942895209e-07,True,True
10,10,FULL,w/o_Copper_Tin_Zinc,-12.705122815482452,0.0,True,True
10,10,FULL,w/o_Copper_Zinc,-5.89847927781186,3.844228713134612e-09,True,True
10,10,FULL,w/o_Lead,-0.561124373733822,0.5747311915237394,False,False
10,10,FULL,w/o_Lead_Nickel,6.240172417306448,4.632809691429429e-10,True,True
10,10,FULL,w/o_Lead_Nickel_Tin,-1.4513545234336642,0.14672716789253126,False,False
10,10,FULL,w/o_Lead_Nickel_Tin_Zinc,-1.0590632130349755,0.2896085045842245,False,False
10,10,FULL,w/o_Lead_Nickel_Zinc,-2.146713539048445,0.03185126082691858,True,False
10,10,FULL,w/o_Lead_Tin,-6.070429875073487,1.3441376900402702e-09,True,True
10,10,FULL,w/o_Lead_Tin_Zinc,-6.972789892265258,3.3990588121923793e-12,True,True
10,10,FULL,w/o_Lead_Zinc,-5.599209500204241,2.237138785332604e-08,True,True
10,10,FULL,w/o_Nickel,4.081027385196429,4.534878653328356e-05,True,True
10,10,FULL,w/o_Nickel_Tin,6.254147930503447,4.2385894793994794e-10,True,True
10,10,FULL,w/o_Nickel_Tin_Zinc,-6.1933483452553375,6.232387939064665e-10,True,True
10,10,FULL,w/o_Nickel_Zinc,2.3347164493207355,0.01958710975817546,True,False
10,10,FULL,w/o_Tin,-2.6239622328173353,0.008710708037695802,True,True
10,10,FULL,w/o_Tin_Zinc,-3.850765735776846,0.00011882695960840906,True,True
10,10,FULL,w/o_Zinc,3.8355764708293307,0.00012639981777695652,True,True
10,22,FULL,w/o_Copper,1.1453439163295513,0.2520850169950921,False,False
10,22,FULL,w/o_Copper_Lead,1.9893286858214105,0.04668308933699317,True,False
10,22,FULL,w/o_Copper_Lead_Nickel,-3.2728540187208015,0.0010670854269541064,True,True
10,22,FULL,w/o_Copper_Lead_Nickel_Tin,3.6994188017883616,0.00021686657384867303,True,True
10,22,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,-4.834406736630489,1.34868284784595e-06,True,True
10,22,FULL,w/o_Copper_Lead_Nickel_Zinc,-4.232265638598309,2.3272628822512686e-05,True,True
10,22,FULL,w/o_Copper_Lead_Tin,-15.066047925358665,0.0,True,True
10,22,FULL,w/o_Copper_Lead_Tin_Zinc,-20.951154355901117,0.0,True,True
10,22,FULL,w/o_Copper_Lead_Zinc,-10.970762141692061,0.0,True,True
10,22,FULL,w/o_Copper_Nickel,1.0542817845130616,0.2917709286514054,False,False
10,22,FULL,w/o_Copper_Nickel_Tin,-5.288129627271606,1.2530972881563684e-07,True,True
10,22,FULL,w/o_Copper_Nickel_Tin_Zinc,-12.187945066931308,0.0,True,True
10,22,FULL,w/o_Copper_Nickel_Zinc,-10.541195520064555,0.0,True,True
10,22,FULL,w/o_Copper_Tin,-15.271493010205631,0.0,True,True
10,22,FULL,w/o_Copper_Tin_Zinc,-20.824075180264817,0.0,True,True
10,22,FULL,w/o_Copper_Zinc,-14.71556620539514,0.0,True,True
10,22,FULL,w/o_Lead,-0.7197881839632793,0.47166664999825336,False,False
10,22,FULL,w/o_Lead_Nickel,-0.394911695531293,0.6929136805622385,False,False
10,22,FULL,w/o_Lead_Nickel_Tin,-0.43209213008011876,0.6656806731876763,False,False
10,22,FULL,w/o_Lead_Nickel_Tin_Zinc,8.996453941443443,0.0,True,True
10,22,FULL,w/o_Lead_Nickel_Zinc,5.189554362282619,2.135507699563277e-07,True,True
10,22,FULL,w/o_Lead_Tin,1.2988424954234419,0.19401797831418888,False,False
10,22,FULL,w/o_Lead_Tin_Zinc,-12.42525571410799,0.0,True,True
10,22,FULL,w/o_Lead_Zinc,-2.4214939401269824,0.015468655525712638,True,False
10,22,FULL,w/o_Nickel,0.019867327149927155,0.9841494737378897,False,False
10,22,FULL,w/o_Nickel_Tin,-9.569949525092595,0.0,True,True
10,22,FULL,w/o_Nickel_Tin_Zinc,-2.037348703624726,0.04163264770964159,True,False
10,22,FULL,w/o_Nickel_Zinc,-0.2818557368522011,0.7780580241078645,False,False
10,22,FULL,w/o_Tin,-6.387541596828761,1.7354717662954044e-10,True,True
10,22,FULL,w/o_Tin_Zinc,-17.591609959105316,0.0,True,True
10,22,FULL,w/o_Zinc,5.121987552414358,3.060839945945304e-07,True,True
10,63,FULL,w/o_Copper,1.9819183912305665,0.04749481239121556,True,False
10,63,FULL,w/o_Copper_Lead,13.568931404897695,0.0,True,True
10,63,FULL,w/o_Copper_Lead_Nickel,4.4016735710166035,1.0768080051848372e-05,True,True
10,63,FULL,w/o_Copper_Lead_Nickel_Tin,6.862620414217439,6.853406731011091e-12,True,True
10,63,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,-18.570499562017464,0.0,True,True
10,63,FULL,w/o_Copper_Lead_Nickel_Zinc,-8.745599690459667,0.0,True,True
10,63,FULL,w/o_Copper_Lead_Tin,-33.91460986299662,0.0,True,True
10,63,FULL,w/o_Copper_Lead_Tin_Zinc,-38.11036405301728,0.0,True,True
10,63,FULL,w/o_Copper_Lead_Zinc,-13.709396653654792,0.0,True,True
10,63,FULL,w/o_Copper_Nickel,3.0282474549537493,0.002461242097786087,True,True
10,63,FULL,w/o_Copper_Nickel_Tin,-11.97367345384958,0.0,True,True
10,63,FULL,w/o_Copper_Nickel_Tin_Zinc,-33.71490054379641,0.0,True,True
10,63,FULL,w/o_Copper_Nickel_Zinc,9.268648737036326,0.0,True,True
10,63,FULL,w/o_Copper_Tin,-33.86349785724716,0.0,True,True
10,63,FULL,w/o_Copper_Tin_Zinc,-35.032612358235504,0.0,True,True
10,63,FULL,w/o_Copper_Zinc,-24.189633726696467,0.0,True,True
10,63,FULL,w/o_Lead,-14.245107127790227,0.0,True,True
10,63,FULL,w/o_Lead_Nickel,22.813212736869136,0.0,True,True
10,63,FULL,w/o_Lead_Nickel_Tin,9.108508657272543,0.0,True,True
10,63,FULL,w/o_Lead_Nickel_Tin_Zinc,10.554787816982952,0.0,True,True
10,63,FULL,w/o_Lead_Nickel_Zinc,16.908588076838402,0.0,True,True
10,63,FULL,w/o_Lead_Tin,-20.712423829599253,0.0,True,True
10,63,FULL,w/o_Lead_Tin_Zinc,-26.667915977791694,0.0,True,True
10,63,FULL,w/o_Lead_Zinc,-7.601355336268292,2.9976021664879227e-14,True,True
10,63,FULL,w/o_Nickel,-6.20762714235741,5.428699711984564e-10,True,True
10,63,FULL,w/o_Nickel_Tin,-13.605593717510258,0.0,True,True
10,63,FULL,w/o_Nickel_Tin_Zinc,14.634061972684727,0.0,True,True
10,63,FULL,w/o_Nickel_Zinc,17.01065456104382,0.0,True,True
10,63,FULL,w/o_Tin,-27.638455645177302,0.0,True,True
10,63,FULL,w/o_Tin_Zinc,-30.37505686559451,0.0,True,True
10,63,FULL,w/o_Zinc,20.987682230505122,0.0,True,True
22,1,FULL,w/o_Copper,5.144657314622412,3.510353476787742e-07,True,True
22,1,FULL,w/o_Copper_Lead,-1.8593138773454208,0.06341438009396039,False,False
22,1,FULL,w/o_Copper_Lead_Nickel,2.95285547713707,0.0032570624885908117,True,True
22,1,FULL,w/o_Copper_Lead_Nickel_Tin,-5.564062361464628,3.792893088494509e-08,True,True
22,1,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,-5.6989728648963895,1.7961765408358588e-08,True,True
22,1,FULL,w/o_Copper_Lead_Nickel_Zinc,1.1779719392269778,0.23921987353751306,False,False
22,1,FULL,w/o_Copper_Lead_Tin,1.7319440188329225,0.083737015081081,False,False
22,1,FULL,w/o_Copper_Lead_Tin_Zinc,1.4730194474755245,0.1412085039017974,False,False
22,1,FULL,w/o_Copper_Lead_Zinc,-7.094797662727671,3.26139115713886e-12,True,True
22,1,FULL,w/o_Copper_Nickel,-3.6008581762996617,0.0003402529053457837,True,True
22,1,FULL,w/o_Copper_Nickel_Tin,6.19647352882898,1.0004153061515808e-09,True,True
22,1,FULL,w/o_Copper_Nickel_Tin_Zinc,-2.6659271673478466,0.007860031812502166,True,True
22,1,FULL,w/o_Copper_Nickel_Zinc,-1.5737277049178435,0.11601553825718769,False,False
22,1,FULL,w/o_Copper_Tin,4.627788873848073,4.426596352802292e-06,True,True
22,1,FULL,w/o_Copper_Tin_Zinc,-8.441223103507312,2.220446049250313e-16,True,True
22,1,FULL,w/o_Copper_Zinc,-2.6530416110109556,0.008163236280280595,True,True
22,1,FULL,w/o_Lead,2.5415605697294312,0.011256795730171687,True,False
22,1,FULL,w/o_Lead_Nickel,-1.4164899141364944,0.1570900392672927,False,False
22,1,FULL,w/o_Lead_Nickel_Tin,5.177835216325145,2.959903790955565e-07,True,True
22,1,FULL,w/o_Lead_Nickel_Tin_Zinc,-4.923598187429753,1.0675716930474977e-06,True,True
22,1,FULL,w/o_Lead_Nickel_Zinc,6.878023169326268,1.3776979557178493e-11,True,True
22,1,FULL,w/o_Lead_Tin,5.024326209087688,6.464849933163208e-07,True,True
22,1,FULL,w/o_Lead_Tin_Zinc,-5.461260260570509,6.6351898198036e-08,True,True
22,1,FULL,w/o_Lead_Zinc,4.564306736803546,5.947263340688735e-06,True,True
22,1,FULL,w/o_Nickel,-4.560289228625685,6.058735337433063e-06,True,True
22,1,FULL,w/o_Nickel_Tin,2.569692165194602,0.010390817394340557,True,False
22,1,FULL,w/o_Nickel_Tin_Zinc,6.002435404339137,3.161941153351222e-09,True,True
22,1,FULL,w/o_Nickel_Zinc,0.08165920188999377,0.9349417510606861,False,False
22,1,FULL,w/o_Tin,6.221005300074153,8.630505199391791e-10,True,True
22,1,FULL,w/o_Tin_Zinc,7.055142948517853,4.256817121017775e-12,True,True
22,1,FULL,w/o_Zinc,-1.684255675974927,0.09259116770198372,False,False
22,5,FULL,w/o_Copper,-0.27433151981713466,0.7838465103668979,False,False
22,5,FULL,w/o_Copper_Lead,-3.6269920519311754,0.00029094786789096716,True,True
22,5,FULL,w/o_Copper_Lead_Nickel,-0.3610753823825524,0.7180655025598703,False,False
22,5,FULL,w/o_Copper_Lead_Nickel_Tin,-2.9594240158813085,0.003103400428960734,True,True
22,5,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,-0.7166223565071574,0.4736563088155785,False,False
22,5,FULL,w/o_Copper_Lead_Nickel_Zinc,-5.55529321950308,2.984277780448963e-08,True,True
22,5,FULL,w/o_Copper_Lead_Tin,-6.156751175199299,8.290494957208239e-10,True,True
22,5,FULL,w/o_Copper_Lead_Tin_Zinc,-8.551747341376036,0.0,True,True
22,5,FULL,w/o_Copper_Lead_Zinc,-7.9957172407057735,1.7763568394002505e-15,True,True
22,5,FULL,w/o_Copper_Nickel,-0.45125819013771695,0.6518322203369005,False,False
22,5,FULL,w/o_Copper_Nickel_Tin,-8.032790415091393,1.3322676295501878e-15,True,True
22,5,FULL,w/o_Copper_Nickel_Tin_Zinc,-8.085433893989533,8.881784197001252e-16,True,True
22,5,FULL,w/o_Copper_Nickel_Zinc,-2.5697083989015455,0.010220607753353539,True,False
22,5,FULL,w/o_Copper_Tin,-6.176819613375462,7.312994654284921e-10,True,True
22,5,FULL,w/o_Copper_Tin_Zinc,-6.100354033127257,1.1770981966918725e-09,True,True
22,5,FULL,w/o_Copper_Zinc,-5.062425721588862,4.359159684330649e-07,True,True
22,5,FULL,w/o_Lead,-1.7142296293004322,0.08657759277632038,False,False
22,5,FULL,w/o_Lead_Nickel,-1.3343337755270896,0.18218374502720036,False,False
22,5,FULL,w/o_Lead_Nickel_Tin,-3.6624115162493447,0.0002536534817256797,True,True
22,5,FULL,w/o_Lead_Nickel_Tin_Zinc,3.2137254672690405,0.0013224815760781716,True,True
22,5,FULL,w/o_Lead_Nickel_Zinc,-0.19684222447558825,0.8439627585012068,False,False
22,5,FULL,w/o_Lead_Tin,-3.3003524017356356,0.0009755847028649622,True,True
22,5,FULL,w/o_Lead_Tin_Zinc,-5.60021030471023,2.3107222135720917e-08,True,True
22,5,FULL,w/o_Lead_Zinc,0.9777267402913236,0.3282789715097909,False,False
22,5,FULL,w/o_Nickel,-0.9469717997371521,0.3437203661952033,False,False
22,5,FULL,w/o_Nickel_Tin,-6.463149271725222,1.1715073355844652e-10,True,True
22,5,FULL,w/o_Nickel_Tin_Zinc,-4.689974763372447,2.8397709661565074e-06,True,True
22,5,FULL,w/o_Nickel_Zinc,-7.313772349384236,3.2240876635114546e-13,True,True
22,5,FULL,w/o_Tin,-3.21358273696507,0.001323137053502954,True,True
22,5,FULL,w/o_Tin_Zinc,-9.072525730473975,0.0,True,True
22,5,FULL,w/o_Zinc,-3.553011401710319,0.00038601732179821546,True,True
22,10,FULL,w/o_Copper,0.8511637733117579,0.3947083154771174,False,False
22,10,FULL,w/o_Copper_Lead,8.61472698404625,0.0,True,True
22,10,FULL,w/o_Copper_Lead_Nickel,4.382163705452733,1.192700335317376e-05,True,True
22,10,FULL,w/o_Copper_Lead_Nickel_Tin,-0.6201845921303771,0.5351570191715673,False,False
22,10,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,3.3919529078034296,0.0006979150469379469,True,True
22,10,FULL,w/o_Copper_Lead_Nickel_Zinc,-8.337427731658334,2.220446049250313e-16,True,True
22,10,FULL,w/o_Copper_Lead_Tin,-9.789608121222313,0.0,True,True
22,10,FULL,w/o_Copper_Lead_Tin_Zinc,-18.984065912951507,0.0,True,True
22,10,FULL,w/o_Copper_Lead_Zinc,-14.262565150910394,0.0,True,True
